Full date (TH),% change,A1,A2,A3,A4,A5,A6,A7,A8,A9,A0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B0,Label
1/2/1979,0.00%,Dec,Jan,Dec,Nov,Jul,Nov,Aug,Aug,Jul,Oct,Sep,Sep,Oct,Mar,Nov,Jul,Sep,Dec,Oct,Apr,1
1/3/1979,0.35%,Dec,Feb,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Sep,Jan,Nov,Apr,Nov,Jul,Sep,Dec,Oct,Apr,0
1/4/1979,-3.62%,Dec,Feb,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Sep,Jun,Nov,Apr,Nov,Jul,Sep,Dec,Oct,Apr,-1
1/5/1979,2.08%,Dec,Mar,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Oct,Oct,Nov,May,Nov,Jul,Sep,Dec,Oct,Apr,1
1/6/1979,1.05%,Dec,Mar,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Oct,Feb,Nov,May,Nov,Aug,Sep,Dec,Oct,Apr,1
1/9/1979,-1.06%,Dec,May,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Nov,Feb,Dec,Jul,Nov,Sep,Sep,Nov,Sep,Apr,-1
1/10/1979,0.40%,Dec,May,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Nov,Jun,Dec,Jul,Nov,Sep,Sep,Nov,Sep,Apr,0
1/11/1979,-1.47%,Dec,Jun,Dec,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Nov,Oct,Dec,Aug,Nov,Sep,Sep,Nov,Sep,Apr,-1
1/12/1979,-0.02%,Dec,Jun,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Dec,Feb,Jan,Aug,Nov,Oct,Sep,Nov,Sep,Apr,0
1/13/1979,-1.38%,Dec,Jun,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Dec,May,Jan,Sep,Nov,Oct,Sep,Nov,Sep,Apr,-1
1/16/1979,-0.34%,Jan,Aug,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Jan,Apr,Jan,Oct,Oct,Nov,Sep,Nov,Aug,Apr,0
1/17/1979,1.75%,Jan,Aug,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Jan,Aug,Feb,Nov,Oct,Nov,Sep,Nov,Aug,Apr,1
1/18/1979,2.99%,Jan,Aug,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Feb,Nov,Feb,Nov,Oct,Nov,Sep,Nov,Aug,Apr,1
1/19/1979,1.98%,Jan,Sep,Jan,Dec,Jul,Nov,Aug,Aug,Jul,Oct,Feb,Mar,Feb,Dec,Oct,Dec,Sep,Nov,Aug,Apr,1
1/20/1979,-0.52%,Jan,Sep,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Feb,Jul,Feb,Jan,Oct,Dec,Sep,Nov,Aug,Apr,0
1/23/1979,1.93%,Jan,Oct,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Mar,Jun,Mar,Feb,Oct,Jan,Sep,Nov,Jul,Apr,1
1/24/1979,-2.13%,Jan,Nov,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Mar,Oct,Mar,Mar,Oct,Jan,Sep,Nov,Jul,Apr,-1
1/25/1979,2.65%,Jan,Nov,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Apr,Mar,Apr,Mar,Oct,Feb,Sep,Nov,Jul,Apr,1
1/26/1979,-0.95%,Jan,Dec,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Apr,Jul,Apr,Apr,Oct,Feb,Sep,Nov,Jul,Apr,0
1/27/1979,0.68%,Jan,Dec,Jan,Jan,Jul,Nov,Aug,Aug,Jul,Oct,Apr,Nov,Apr,Apr,Oct,Feb,Sep,Nov,Jul,Apr,0
1/30/1979,-0.11%,Jan,Feb,Jan,Jan,Jul,Nov,Aug,Aug,Jun,Oct,May,Dec,May,Jun,Oct,Mar,Sep,Nov,Jun,Apr,0
1/31/1979,-0.72%,Jan,Feb,Jan,Jan,Jul,Nov,Aug,Aug,Jun,Oct,May,Apr,May,Jun,Oct,Mar,Sep,Nov,Jun,Apr,0
2/1/1979,0.09%,Jan,Mar,Jan,Jan,Jul,Dec,Aug,Aug,Jun,Oct,Jun,Aug,May,Jul,Oct,Apr,Sep,Nov,Jun,Apr,0
